Date,AAPL-corpbond,HD-corpbond,IBM-corpbond,NKE-corpbond,AAPL-stock,HD-stock,IBM-stock,NKE-stock
11/12/2013, 93.04 , 90.92 , 99.29 , 90.50 ,117.7795412,104.05689,90.87099601,120.6860098
11/13/2013, 93.11 , 91.17 , 99.46 , 91.93 ,117.9199787,105.9965234,91.10923264,122.2245766
11/14/2013, 93.90 , 91.48 , 99.50 , 92.03 ,119.6255119,107.8268835,90.44409516,123.4648979
11/15/2013, 93.32 , 91.72 , 99.53 , 91.02 ,118.9075183,109.3157587,90.93053046,124.3754877
11/18/2013, 93.62 , 92.18 , 99.63 , 91.53 ,117.4670151,108.8240015,91.56590103,123.3707064
11/19/2013, 93.41 , 91.86 , 99.50 , 91.68 ,117.6753746,109.7938538,91.95308249,122.1617624
11/20/2013, 92.93 , 91.31 , 99.40 , 91.46 ,116.6448425,108.9332874,91.92327606,122.208916
11/21/2013, 93.18 , 91.40 , 99.45 , 91.47 ,118.0355044,109.0425496,91.3971507,122.601409
11/22/2013, 93.43 , 91.48 , 99.44 , 91.13 ,117.7320187,108.1547174,89.99238802,123.8260136
11/25/2013, 93.80 , 91.97 , 99.64 , 92.08 ,118.6244056,108.9332874,88.82096001,124.2341532
11/26/2013, 94.03 , 92.23 , 99.67 , 92.09 ,120.8123283,109.7528674,88.01188805,124.9720768
11/27/2013, 93.97 , 92.23 , 99.63 , 92.10 ,123.6571007,110.176265,88.83584378,124.5482346
11/29/2013, 93.55 , 92.11 , 99.56 , 91.51 ,125.9469382,110.1899034,89.18825755,124.2498664
12/2/2013, 93.54 , 91.68 , 99.60 , 91.18 ,124.850734,108.960599,88.09623899,124.1713776
12/3/2013, 93.70 , 91.96 , 99.58 , 90.55 ,128.268508,108.040946,87.40134289,124.2341532
12/4/2013, 93.06 , 91.62 , 99.52 , 90.11 ,127.9695504,107.6154384,87.23255366,123.7475353
12/5/2013, 93.08 , 91.64 , 99.42 , 91.43 ,128.6264143,107.8076026,87.40134289,123.9515543
12/6/2013, 93.81 , 91.31 , 99.31 , 90.07 ,126.8416016,109.5920072,88.19057046,125.3803216
12/9/2013, 93.42 , 91.41 , 99.37 , 90.67 ,128.2934622,109.2625928,88.08635536,125.2547143
